subsystem,file,function_or_class,active_or_frozen,purpose,inputs,outputs,timing_semantics,source_gap_semantics,scaling_semantics,model_dependency,current_consumers,proposed_use,tests,audit_status,risk
"duration_only_model","packages/stocker_research/src/stocker_research/regime_refit_v2.py","build_duration_only_repair; DurationOnlyRepairResult","active_pre_existing_frozen_for_new_experiment","Isolate corrected duration and gap semantics with other arrays frozen","Frozen parameters development panel frozen hard labels","Duration-only parameter lineage","Offline development fit then causal filtering","Gap groups explicit","Frozen preprocessing","MODEL_DURATION_REPAIR","Right-Censored Regime Refit V2","Cross-lineage excursion stability sensitivity","tests/test_regime_refit_v2.py","Model file and logical hash verified","Low"
"full_right_censored_refit","packages/stocker_research/src/stocker_research/regime_refit_v2.py","fit_full_right_censored_refit; FullRefitResult","active_pre_existing_frozen_for_new_experiment","Fit complete deterministic K state semi-Markov model","Development panel ordered emissions and pinned configuration","Preprocessing clusters labels parameters and hashes","Development only","Segment-local label cleaning and duration estimation","Training-median robust scaling","MODEL_FULL_REFIT","Right-Censored Regime Refit V2","Primary posterior lineage and sensitivity reference","tests/test_regime_refit_v2.py","Independent audit clean fit and exact rerun passed","Low"
"k_seed_sensitivity","packages/stocker_research/src/stocker_research/regime_validity_v2.py","deterministic_model_registry; fit_clustered_semimarkov","active_pre_existing_frozen_registry","Enumerate and fit K 6 8 10 12 and pinned seeds","Development panel and frozen registry","Model registry alignments state and loop stability","Development only","Causal groups","Training-only robust preprocessing per fit","Sensitivity model internal labels","Regime Model Validity reruns","Cross-K and cross-seed event-family stability","tests/test_regime_model_validity_v2.py","Registry artifact manifest verified","Medium: posterior dimensions cannot be compared without alignment"
"training_sample_sensitivity","packages/stocker_research/src/stocker_research/regime_validity_v2.py","build_training_sample","active_pre_existing_frozen_registry","Create bounded deterministic stride symbol symbol-month and clock samples","Development panel only","Four archived row registries","No assessment rows used","Preserves panel segmentation metadata","Fit separately on each sample","Sensitivity model internal labels","Repaired Regime Validity rerun","Cross-sample event-family stability","tests/test_regime_model_validity_v2.py","All four sample registries manifest-verified","Low"
"state_alignment","packages/stocker_research/src/stocker_research/state_alignment_v2.py","align_states; apply_state_mapping","active_pre_existing","Align state profiles without assuming numeric IDs","Centroids transition and duration profiles","Hungarian mapping costs and unmatched states","Offline structural comparison only","Not applicable","Raw centroid scale is reconciled explicitly by caller","Pairs of declared model lineages","Regime validity and repair comparison","Optional posterior alignment; event family remains primary","tests/test_regime_model_validity_v2.py","Independent reconstruction passed","Medium: K mismatch leaves unmatched dimensions"
"loop_event_semantics_v2","packages/stocker_research/src/stocker_research/loop_events_v2.py","PrimaryOutcomeLabel and structural row contracts","frozen_historical","Define mutually exclusive exact numeric-state first events","Completed hard-state decisions","Historical V2 loop event rows","Completed bars only","Session gaps fail closed","Not applicable","Historical frozen state model","Loop Event Semantics and dictionary","Descriptive reconciliation only; never overwritten","research work tests/test_loop_event_semantics_v2.py","Frozen decision audit passed; five detailed ledgers absent in checkout","High for reuse: exact numeric identities are unstable"
"first_event_ledger","packages/stocker_research/src/stocker_research/loop_ledger_v2.py","build_loop_event_ledgers","frozen_historical","Build historical first-completion outcomes from numeric-state paths","Decision surface and frozen dictionary","Decision prefix completion and outcome ledgers","Causal decision anchor with later structural outcome","Fails closed at incomplete session or gap","Not applicable","Exact numeric hard-state path","Semantic Loop Dictionary V2","Historical-loop reconciliation source only","tests/test_loop_ledger_v2.py; research work tests","Audited in Loop Event Semantics V2","High for event definition; prohibited as new target"
"active_prefix_ledger","packages/stocker_research/src/stocker_research/loop_prefix_automaton_v2.py","LoopPrefixAutomaton","frozen_historical","Track exact numeric-state prefix progress","State-change events and dictionary","Active prefix states","Updated only at completed state changes","Reset by session and unavailable source","Not applicable","Exact numeric state dictionary","Loop Event Semantics V2","No direct use beyond descriptive reconciliation","tests/test_loop_prefix_automaton_v2.py","Audited historical evidence","High for reuse"
"semantic_loop_dictionary_v2","packages/stocker_research/src/stocker_research/semantic_loop_dictionary_v2.py","build_candidate_universe; select_primary_dictionary","frozen_historical","Select exact semantic numeric-loop dictionary","Historical exact loop outcomes and structural nulls","Frozen dictionary and hash","Development 2024 selection only","Unavailable source excluded","Not applicable","Frozen exact numeric state events","Semantic Dictionary Coverage V2","Map historical paths into new taxonomy without editing dictionary","tests/test_semantic_loop_dictionary_coverage_v2.py","Independent audit passed; decision blocked","High for reuse"
"regime_model_validity_v2","packages/stocker_research/src/stocker_research/regime_validity_v2.py","decide_part_a; freeze_part_a_binding","frozen_historical_contract_active_math","Audit causal regime representations and gate Part B","Panels fitted models sensitivity surfaces","Part A binding and decision","Development then unchanged assessment","Strict group resets","Training-only preprocessing","Frozen and sensitivity lineages","Regime Model Validity V2","Source evidence and reusable maths only","tests/test_regime_model_validity_v2.py","Independent audit passed","Low"
"right_censored_stability_rerun","research/slrno-v2/20260714-regime-loop-handoff/work/regime_repair_validity_rerun_v2.py","run_unchanged_validity_rerun","active_pre_existing_frozen_for_new_experiment","Rerun unchanged stability gates after repair","Development and assessment panels plus repaired models","K seed sample representation and decision artifacts","Strict 2024 fit then 2025 assessment","Segment local","Per-lineage training only","Repaired full refit primary","Right-Censored Regime Refit V2","Consume registries models and scientific conclusion","research work tests/test_right_censored_regime_refit_v2.py","Independent audit and exact rerun passed","Low"
"market_breadth_dispersion_relative","packages/stocker_research/src/stocker_research/regime_panel_v2.py","add_cross_sectional_market_features; build_causal_market_context","active_pre_existing","Build same-bar breadth dispersion benchmark and stock-relative context","Present peers benchmark completed bar and prior sessions","Market emissions and contextual fields","Same completed bar or prior session only","No cross-gap rolling for stock fields","Raw then development-only model scaling","None","Regime panel and validity","Emission trajectory and optional structural context","tests/test_regime_panel_v2.py","Emission sample independently reconstructed","Low"
"historical_frozen_model","research/slrno-v2/20260714-regime-loop-handoff/work/shadow_validation/frozen_loop_movement_shadow_v1/frozen_bundle/artifacts/state/frozen_semimarkov_parameters.npz","frozen parameter bundle","frozen_historical","Preserve original causal state posterior lineage","Frozen preprocessing and fourteen emissions","Frozen posterior and hard path when filtered","Completed-bar causal recursion","Must be segment-reset by new caller","Frozen preprocessing","MODEL_FROZEN","Historical loop experiments","Cross-lineage excursion stability sensitivity","tests/test_frozen_loop_movement_shadow.py","File hash and historical tree verified","Medium: original terminal duration fit was defective"
"posterior_artifact_samples","research/slrno-v2/20260714-regime-loop-handoff/work/artifacts/20260719-right-censored-regime-refit-v2/primary/posterior_comparison_sample.parquet","archived deterministic sample ledger","frozen_pre_existing_artifact","Bind sampled frozen duration-only and full-refit posterior values","Thirty thousand sampled model rows","Posterior entropy age departure and eight probabilities","Completed-bar timestamps","Segment IDs retained","Lineage preprocessing already applied","Three K8 lineages","Right-Censored independent auditor","Audit cross-check only; full trajectories will be rebuilt","No direct package test","Manifest hash verified","Medium: sample is not a full trajectory ledger"
"research_pipeline_correctness_audit_v1","not_present_in_current_tree","not_located","missing_named_historical_source","Record absence of the specifically named audit without fabricating evidence","Current Git tree and global filename/content search","Missing-evidence census row","Not applicable","Not applicable","Not applicable","None","None","No direct dependency; underlying panel causality is covered by Loop Event Semantics Regime Validity and right-censored independent audits","None","Named artifact absent; equivalent underlying checks independently located","Medium: report must disclose absence"
"historical_loop_reconciliation","research/slrno-v2/20260714-regime-loop-handoff/work/artifacts/20260719-right-censored-regime-refit-v2/primary/loop_event_comparison.parquet","archived lineage comparison","frozen_pre_existing_artifact","Compare historical exact loops across repaired lineages","Historical numeric loop event paths","Aligned event comparison","Completed event timestamps","Gap-local paths","Not applicable","Frozen duration-only and full-refit","Right-Censored report","Descriptive mapping into broad excursion families only","research work tests/test_right_censored_regime_refit_v2.py","Manifest and audit verified","Medium: never use historical payoff fields"
