record_type,population,emotion,trajectory,statistic,value,quintile,target_class,development_q20,development_q40,development_q60,development_q80
correlation,development,arousal,reversal,correlation_with_current_level,0.0005811237009092131,,,,,,
correlation,development,arousal,reversal,correlation_with_change,0.13347149696179358,,,,,,
correlation,development,arousal,reversal,correlation_with_acceleration,-0.055452689422287205,,,,,,
correlation,development,arousal,reversal,correlation_with_reversal,1.0,,,,,,
correlation,development,arousal,reversal,correlation_with_recent_change,0.08337870688621898,,,,,,
correlation,development,arousal,reversal,correlation_with_monotonic_persistence,0.17579268139538548,,,,,,
correlation,development,arousal,reversal,correlation_with_peak_displacement,0.298027185105909,,,,,,
correlation,development,arousal,recent_change,correlation_with_current_level,0.0763522061553358,,,,,,
correlation,development,arousal,recent_change,correlation_with_change,0.6172375889818541,,,,,,
correlation,development,arousal,recent_change,correlation_with_acceleration,0.4507995640982999,,,,,,
correlation,development,arousal,recent_change,correlation_with_reversal,0.083378706886219,,,,,,
correlation,development,arousal,recent_change,correlation_with_recent_change,1.0,,,,,,
correlation,development,arousal,recent_change,correlation_with_monotonic_persistence,0.5833183884492569,,,,,,
correlation,development,arousal,recent_change,correlation_with_peak_displacement,0.6281337263184328,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_current_level,0.12525859001814751,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_change,0.7669633073474592,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_acceleration,-0.19870188450135778,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_reversal,0.1757926813953855,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_recent_change,0.5833183884492568,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_monotonic_persistence,1.0,,,,,,
correlation,development,arousal,monotonic_persistence,correlation_with_peak_displacement,0.7186956642628006,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_current_level,0.07714747324335265,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_change,0.7767302859547907,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_acceleration,-0.15819696378366563,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_reversal,0.298027185105909,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_recent_change,0.6281337263184328,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_monotonic_persistence,0.7186956642628007,,,,,,
correlation,development,arousal,peak_displacement,correlation_with_peak_displacement,1.0,,,,,,
summary,development,conviction,,level_mean,0.04011224782113896,,,,,,
summary,development,conviction,,level_standard_deviation,0.6411641497558376,,,,,,
summary,development,conviction,,change_mean,0.04379181400838135,,,,,,
summary,development,conviction,,change_standard_deviation,0.6772988867322213,,,,,,
summary,development,conviction,,acceleration_mean,0.015071630693105366,,,,,,
summary,development,conviction,,acceleration_standard_deviation,0.8990598324395741,,,,,,
summary,development,conviction,,reversal_frequency,0.5925625202987983,,,,,,
summary,development,conviction,,persistence_frequency,0.4074374797012017,,,,,,
summary,development,conviction,,peak_displacement_mean,-0.3354004192628161,,,,,,
summary,development,conviction,,peak_displacement_standard_deviation,0.3976339707275853,,,,,,
summary,development,conviction,,level_change_opposite_sign_frequency,0.32375230053047527,,,,,,
summary,development,conviction,,reverses_before_decision_frequency,0.5925625202987983,,,,,,
summary,development,conviction,,at_local_peak_at_decision_frequency,0.3535238713868139,,,,,,
correlation,development,conviction,change,correlation_with_current_level,0.5687803614269893,,,,,,
correlation,development,conviction,change,correlation_with_change,1.0,,,,,,
correlation,development,conviction,change,correlation_with_acceleration,-0.24172153103211724,,,,,,
correlation,development,conviction,change,correlation_with_reversal,-0.06565428359144423,,,,,,
correlation,development,conviction,change,correlation_with_recent_change,0.46639699881959085,,,,,,
correlation,development,conviction,change,correlation_with_monotonic_persistence,0.7329011919335244,,,,,,
correlation,development,conviction,change,correlation_with_peak_displacement,0.7882267314761928,,,,,,
correlation,development,conviction,acceleration,correlation_with_current_level,-0.0538434804298983,,,,,,
correlation,development,conviction,acceleration,correlation_with_change,-0.24172153103211727,,,,,,
correlation,development,conviction,acceleration,correlation_with_acceleration,1.0,,,,,,
correlation,development,conviction,acceleration,correlation_with_reversal,0.012256776265918194,,,,,,
correlation,development,conviction,acceleration,correlation_with_recent_change,0.7456058147760968,,,,,,
correlation,development,conviction,acceleration,correlation_with_monotonic_persistence,-0.06941109810611432,,,,,,
correlation,development,conviction,acceleration,correlation_with_peak_displacement,0.11891920603584058,,,,,,
correlation,development,conviction,reversal,correlation_with_current_level,-0.08573046903239864,,,,,,
correlation,development,conviction,reversal,correlation_with_change,-0.06565428359144423,,,,,,
correlation,development,conviction,reversal,correlation_with_acceleration,0.012256776265918175,,,,,,
correlation,development,conviction,reversal,correlation_with_reversal,1.0,,,,,,
correlation,development,conviction,reversal,correlation_with_recent_change,-0.03391485607606814,,,,,,
correlation,development,conviction,reversal,correlation_with_monotonic_persistence,-0.07222903922372469,,,,,,
correlation,development,conviction,reversal,correlation_with_peak_displacement,0.012680301871685245,,,,,,
correlation,development,conviction,recent_change,correlation_with_current_level,0.3415271184157227,,,,,,
correlation,development,conviction,recent_change,correlation_with_change,0.4663969988195908,,,,,,
correlation,development,conviction,recent_change,correlation_with_acceleration,0.7456058147760968,,,,,,
correlation,development,conviction,recent_change,correlation_with_reversal,-0.03391485607606815,,,,,,
correlation,development,conviction,recent_change,correlation_with_recent_change,1.0,,,,,,
correlation,development,conviction,recent_change,correlation_with_monotonic_persistence,0.44004592425445155,,,,,,
correlation,development,conviction,recent_change,correlation_with_peak_displacement,0.6497244109944246,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_current_level,0.4224483151232662,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_change,0.7329011919335245,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_acceleration,-0.0694110981061143,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_reversal,-0.07222903922372467,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_recent_change,0.44004592425445155,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_monotonic_persistence,1.0,,,,,,
correlation,development,conviction,monotonic_persistence,correlation_with_peak_displacement,0.5996693175629356,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_current_level,0.43259190113573315,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_change,0.7882267314761928,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_acceleration,0.11891920603584061,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_reversal,0.012680301871685248,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_recent_change,0.6497244109944246,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_monotonic_persistence,0.5996693175629356,,,,,,
correlation,development,conviction,peak_displacement,correlation_with_peak_displacement,1.0,,,,,,
summary,development,frustration,,level_mean,-0.09866503572308408,,,,,,
summary,development,frustration,,level_standard_deviation,0.7296883932543223,,,,,,
summary,development,frustration,,change_mean,-0.07655405207568483,,,,,,
summary,development,frustration,,change_standard_deviation,0.639110586949149,,,,,,
summary,development,frustration,,acceleration_mean,0.06060725032868713,,,,,,
summary,development,frustration,,acceleration_standard_deviation,0.7783261835944669,,,,,,
summary,development,frustration,,reversal_frequency,0.5527768756089639,,,,,,
summary,development,frustration,,persistence_frequency,0.44722312439103606,,,,,,
summary,development,frustration,,peak_displacement_mean,-0.34091869742165015,,,,,,
summary,development,frustration,,peak_displacement_standard_deviation,0.393392133514054,,,,,,
summary,development,frustration,,level_change_opposite_sign_frequency,0.3316552993396124,,,,,,
summary,development,frustration,,reverses_before_decision_frequency,0.5527768756089639,,,,,,
summary,development,frustration,,at_local_peak_at_decision_frequency,0.2871603334415936,,,,,,
correlation,development,frustration,change,correlation_with_current_level,0.4777912454926479,,,,,,
correlation,development,frustration,change,correlation_with_change,1.0,,,,,,
correlation,development,frustration,change,correlation_with_acceleration,-0.2717956936900524,,,,,,
correlation,development,frustration,change,correlation_with_reversal,0.13458222265943512,,,,,,
correlation,development,frustration,change,correlation_with_recent_change,0.4957455456630171,,,,,,
correlation,development,frustration,change,correlation_with_monotonic_persistence,0.7192522957576786,,,,,,
correlation,development,frustration,change,correlation_with_peak_displacement,0.8106297254279984,,,,,,
correlation,development,frustration,acceleration,correlation_with_current_level,-0.03022535449090938,,,,,,
correlation,development,frustration,acceleration,correlation_with_change,-0.2717956936900524,,,,,,
correlation,development,frustration,acceleration,correlation_with_acceleration,1.0,,,,,,
correlation,development,frustration,acceleration,correlation_with_reversal,0.04723052659891362,,,,,,
correlation,development,frustration,acceleration,correlation_with_recent_change,0.7010328238409017,,,,,,
correlation,development,frustration,acceleration,correlation_with_monotonic_persistence,-0.08787547527275927,,,,,,
correlation,development,frustration,acceleration,correlation_with_peak_displacement,0.005483147003279654,,,,,,
correlation,development,frustration,reversal,correlation_with_current_level,0.09370884870008231,,,,,,
correlation,development,frustration,reversal,correlation_with_change,0.13458222265943515,,,,,,
correlation,development,frustration,reversal,correlation_with_acceleration,0.047230526598913594,,,,,,
correlation,development,frustration,reversal,correlation_with_reversal,1.0,,,,,,
correlation,development,frustration,reversal,correlation_with_recent_change,0.14235150493925253,,,,,,
correlation,development,frustration,reversal,correlation_with_monotonic_persistence,0.175650992697037,,,,,,
correlation,development,frustration,reversal,correlation_with_peak_displacement,0.21396902178744898,,,,,,
correlation,development,frustration,recent_change,correlation_with_current_level,0.32677863798133916,,,,,,
correlation,development,frustration,recent_change,correlation_with_change,0.495745545663017,,,,,,
correlation,development,frustration,recent_change,correlation_with_acceleration,0.7010328238409019,,,,,,
correlation,development,frustration,recent_change,correlation_with_reversal,0.1423515049392525,,,,,,
correlation,development,frustration,recent_change,correlation_with_recent_change,1.0,,,,,,
correlation,development,frustration,recent_change,correlation_with_monotonic_persistence,0.45368150350724135,,,,,,
correlation,development,frustration,recent_change,correlation_with_peak_displacement,0.6056450287589137,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_current_level,0.35420194173750313,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_change,0.7192522957576787,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_acceleration,-0.08787547527275927,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_reversal,0.175650992697037,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_recent_change,0.45368150350724135,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_monotonic_persistence,1.0,,,,,,
correlation,development,frustration,monotonic_persistence,correlation_with_peak_displacement,0.6108720716098629,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_current_level,0.42849217399952744,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_change,0.8106297254279985,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_acceleration,0.005483147003279652,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_reversal,0.21396902178744898,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_recent_change,0.6056450287589137,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_monotonic_persistence,0.6108720716098629,,,,,,
correlation,development,frustration,peak_displacement,correlation_with_peak_displacement,1.0,,,,,,
summary,development,tension,,level_mean,-0.21412566881584344,,,,,,
summary,development,tension,,level_standard_deviation,1.0771602071098443,,,,,,
summary,development,tension,,change_mean,-0.0018936581013463919,,,,,,
summary,development,tension,,change_standard_deviation,0.8314948294954081,,,,,,
summary,development,tension,,acceleration_mean,-0.0030287687352956454,,,,,,
summary,development,tension,,acceleration_standard_deviation,0.9886591685299586,,,,,,
summary,development,tension,,reversal_frequency,0.5632781206019271,,,,,,
summary,development,tension,,persistence_frequency,0.43672187939807294,,,,,,
summary,development,tension,,peak_displacement_mean,-0.3687238668266007,,,,,,
summary,development,tension,,peak_displacement_standard_deviation,0.5355431429709533,,,,,,
summary,development,tension,,level_change_opposite_sign_frequency,0.3745804915015698,,,,,,
summary,development,tension,,reverses_before_decision_frequency,0.5632781206019271,,,,,,
summary,development,tension,,at_local_peak_at_decision_frequency,0.3476778174732056,,,,,,
correlation,development,tension,change,correlation_with_current_level,0.3670992391397172,,,,,,
correlation,development,tension,change,correlation_with_change,1.0,,,,,,
correlation,development,tension,change,correlation_with_acceleration,-0.2680752326292729,,,,,,
correlation,development,tension,change,correlation_with_reversal,-0.01240557319888707,,,,,,
correlation,development,tension,change,correlation_with_recent_change,0.511158687258142,,,,,,
correlation,development,tension,change,correlation_with_monotonic_persistence,0.6755039480173121,,,,,,
correlation,development,tension,change,correlation_with_peak_displacement,0.7906726851443721,,,,,,
correlation,development,tension,acceleration,correlation_with_current_level,-0.023178892438473254,,,,,,
correlation,development,tension,acceleration,correlation_with_change,-0.2680752326292729,,,,,,
correlation,development,tension,acceleration,correlation_with_acceleration,1.0,,,,,,
correlation,development,tension,acceleration,correlation_with_reversal,0.042481962373421354,,,,,,
correlation,development,tension,acceleration,correlation_with_recent_change,0.6909984361687075,,,,,,
correlation,development,tension,acceleration,correlation_with_monotonic_persistence,-0.08000866818695052,,,,,,
correlation,development,tension,acceleration,correlation_with_peak_displacement,0.008940048559601043,,,,,,
correlation,development,tension,reversal,correlation_with_current_level,0.047268049641835265,,,,,,
correlation,development,tension,reversal,correlation_with_change,-0.01240557319888707,,,,,,
correlation,development,tension,reversal,correlation_with_acceleration,0.04248196237342136,,,,,,
correlation,development,tension,reversal,correlation_with_reversal,1.0,,,,,,
correlation,development,tension,reversal,correlation_with_recent_change,0.028591736168035585,,,,,,
correlation,development,tension,reversal,correlation_with_monotonic_persistence,-0.037788692580558836,,,,,,
correlation,development,tension,reversal,correlation_with_peak_displacement,0.0839342340735983,,,,,,
correlation,development,tension,recent_change,correlation_with_current_level,0.25476287392542724,,,,,,
correlation,development,tension,recent_change,correlation_with_change,0.5111586872581421,,,,,,
correlation,development,tension,recent_change,correlation_with_acceleration,0.6909984361687075,,,,,,
correlation,development,tension,recent_change,correlation_with_reversal,0.028591736168035595,,,,,,
correlation,development,tension,recent_change,correlation_with_recent_change,1.0,,,,,,
correlation,development,tension,recent_change,correlation_with_monotonic_persistence,0.43546478378903103,,,,,,
correlation,development,tension,recent_change,correlation_with_peak_displacement,0.6012328809660303,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_current_level,0.24330108155039087,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_change,0.6755039480173121,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_acceleration,-0.08000866818695049,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_reversal,-0.03778869258055882,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_recent_change,0.43546478378903103,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_monotonic_persistence,1.0,,,,,,
correlation,development,tension,monotonic_persistence,correlation_with_peak_displacement,0.5411878195673382,,,,,,
correlation,development,tension,peak_displacement,correlation_with_current_level,0.5196819566269436,,,,,,
correlation,development,tension,peak_displacement,correlation_with_change,0.7906726851443721,,,,,,
correlation,development,tension,peak_displacement,correlation_with_acceleration,0.008940048559601047,,,,,,
correlation,development,tension,peak_displacement,correlation_with_reversal,0.0839342340735983,,,,,,
correlation,development,tension,peak_displacement,correlation_with_recent_change,0.6012328809660303,,,,,,
correlation,development,tension,peak_displacement,correlation_with_monotonic_persistence,0.5411878195673382,,,,,,
correlation,development,tension,peak_displacement,correlation_with_peak_displacement,1.0,,,,,,
summary,development,signed_pressure,,level_mean,0.02122161949921571,,,,,,
summary,development,signed_pressure,,level_standard_deviation,0.6513301149712587,,,,,,
summary,development,signed_pressure,,change_mean,0.0030440470768683674,,,,,,
summary,development,signed_pressure,,change_standard_deviation,0.5040326100550553,,,,,,
summary,development,signed_pressure,,acceleration_mean,0.0022696462639910844,,,,,,
summary,development,signed_pressure,,acceleration_standard_deviation,0.5140561615906278,,,,,,
summary,development,signed_pressure,,reversal_frequency,0.49978347948468116,,,,,,
summary,development,signed_pressure,,persistence_frequency,0.5002165205153188,,,,,,
summary,development,signed_pressure,,peak_displacement_mean,-0.2388801269431658,,,,,,
summary,development,signed_pressure,,peak_displacement_standard_deviation,0.29345950705640883,,,,,,
summary,development,signed_pressure,,level_change_opposite_sign_frequency,0.35493125473638626,,,,,,
summary,development,signed_pressure,,reverses_before_decision_frequency,0.49978347948468116,,,,,,
summary,development,signed_pressure,,at_local_peak_at_decision_frequency,0.35157518674894445,,,,,,
correlation,development,signed_pressure,change,correlation_with_current_level,0.4277062662970033,,,,,,
correlation,development,signed_pressure,change,correlation_with_change,1.0,,,,,,
correlation,development,signed_pressure,change,correlation_with_acceleration,-0.30473825164153256,,,,,,
correlation,development,signed_pressure,change,correlation_with_reversal,-0.007993227575828927,,,,,,
correlation,development,signed_pressure,change,correlation_with_recent_change,0.5786561040813472,,,,,,
correlation,development,signed_pressure,change,correlation_with_monotonic_persistence,0.7802069505688967,,,,,,
correlation,development,signed_pressure,change,correlation_with_peak_displacement,0.8331750277742955,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_current_level,-0.1363887156966772,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_change,-0.30473825164153256,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_acceleration,1.0,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_reversal,-0.005533288814970999,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_recent_change,0.6004412617696273,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_monotonic_persistence,-0.12685143699979445,,,,,,
correlation,development,signed_pressure,acceleration,correlation_with_peak_displacement,-0.0516171735387909,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_current_level,-0.005217993557872745,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_change,-0.007993227575828907,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_acceleration,-0.0055332888149709995,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_reversal,1.0,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_recent_change,-0.01144930168853987,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_monotonic_persistence,-0.006502795458203809,,,,,,
correlation,development,signed_pressure,reversal,correlation_with_peak_displacement,0.12137009715232083,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_current_level,0.24231400392720967,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_change,0.5786561040813472,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_acceleration,0.6004412617696273,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_reversal,-0.011449301688539864,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_recent_change,1.0,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_monotonic_persistence,0.5464416445547365,,,,,,
correlation,development,signed_pressure,recent_change,correlation_with_peak_displacement,0.6553369816247445,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_current_level,0.3415575521382724,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_change,0.7802069505688967,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_acceleration,-0.12685143699979445,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_reversal,-0.006502795458203798,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_recent_change,0.5464416445547365,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_monotonic_persistence,1.0,,,,,,
correlation,development,signed_pressure,monotonic_persistence,correlation_with_peak_displacement,0.6668320772792612,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_current_level,0.3288781906658152,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_change,0.8331750277742955,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_acceleration,-0.0516171735387909,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_reversal,0.12137009715232086,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_recent_change,0.6553369816247445,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_monotonic_persistence,0.6668320772792611,,,,,,
correlation,development,signed_pressure,peak_displacement,correlation_with_peak_displacement,1.0,,,,,,
summary,development,signed_exhaustion,,level_mean,0.05589020387389516,,,,,,
summary,development,signed_exhaustion,,level_standard_deviation,1.4738575249266894,,,,,,
summary,development,signed_exhaustion,,change_mean,-0.005241032590460487,,,,,,
summary,development,signed_exhaustion,,change_standard_deviation,1.7045323212727448,,,,,,
summary,development,signed_exhaustion,,acceleration_mean,-0.01575302082052436,,,,,,
summary,development,signed_exhaustion,,acceleration_standard_deviation,2.479769541939061,,,,,,
summary,development,signed_exhaustion,,reversal_frequency,0.6003031287214463,,,,,,
summary,development,signed_exhaustion,,persistence_frequency,0.39969687127855363,,,,,,
summary,development,signed_exhaustion,,peak_displacement_mean,-0.836407477929351,,,,,,
summary,development,signed_exhaustion,,peak_displacement_standard_deviation,1.1312041400398243,,,,,,
summary,development,signed_exhaustion,,level_change_opposite_sign_frequency,0.2983111399805132,,,,,,
summary,development,signed_exhaustion,,reverses_before_decision_frequency,0.6003031287214463,,,,,,
summary,development,signed_exhaustion,,at_local_peak_at_decision_frequency,0.3177438562303778,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_current_level,0.6397263253601624,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_change,1.0,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_acceleration,-0.18185305044933803,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_reversal,-0.00521939467178751,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_recent_change,0.4572134496529862,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_monotonic_persistence,0.627060092783866,,,,,,
correlation,development,signed_exhaustion,change,correlation_with_peak_displacement,0.7301010770574236,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_current_level,0.09624677011643762,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_change,-0.18185305044933806,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_acceleration,1.0,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_reversal,-0.012801472636393025,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_recent_change,0.791381943591333,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_monotonic_persistence,-0.05149826067211145,,,,,,
correlation,development,signed_exhaustion,acceleration,correlation_with_peak_displacement,0.17592886701318838,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_current_level,-0.0060319906375232634,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_change,-0.005219394671787521,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_acceleration,-0.01280147263639303,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_reversal,1.0,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_recent_change,-0.014822972559743311,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_monotonic_persistence,0.016790141384511747,,,,,,
correlation,development,signed_exhaustion,reversal,correlation_with_peak_displacement,0.0043676306004031985,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_current_level,0.48475954865317755,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_change,0.4572134496529862,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_acceleration,0.791381943591333,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_reversal,-0.014822972559743327,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_recent_change,1.0,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_monotonic_persistence,0.3432589037122921,,,,,,
correlation,development,signed_exhaustion,recent_change,correlation_with_peak_displacement,0.6130119721164451,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_current_level,0.4124337053589269,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_change,0.627060092783866,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_acceleration,-0.051498260672111454,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_reversal,0.016790141384511747,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_recent_change,0.3432589037122921,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_monotonic_persistence,1.0,,,,,,
correlation,development,signed_exhaustion,monotonic_persistence,correlation_with_peak_displacement,0.46075582500545575,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_current_level,0.5403301822559926,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_change,0.7301010770574234,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_acceleration,0.17592886701318844,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_reversal,0.004367630600403184,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_recent_change,0.6130119721164451,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_monotonic_persistence,0.46075582500545575,,,,,,
correlation,development,signed_exhaustion,peak_displacement,correlation_with_peak_displacement,1.0,,,,,,
summary,assessment,arousal,,level_mean,0.21413288579070006,,,,,,
summary,assessment,arousal,,level_standard_deviation,0.7177624530060692,,,,,,
summary,assessment,arousal,,change_mean,0.01223982324240891,,,,,,
summary,assessment,arousal,,change_standard_deviation,0.2561751804697028,,,,,,
summary,assessment,arousal,,acceleration_mean,-0.0006369915945583546,,,,,,
summary,assessment,arousal,,acceleration_standard_deviation,0.21801989141052314,,,,,,
summary,assessment,arousal,,reversal_frequency,0.4346187765573639,,,,,,
summary,assessment,arousal,,persistence_frequency,0.5653812234426361,,,,,,
summary,assessment,arousal,,peak_displacement_mean,-0.10422638995076752,,,,,,
summary,assessment,arousal,,peak_displacement_standard_deviation,0.12006996267883042,,,,,,
summary,assessment,arousal,,level_change_opposite_sign_frequency,0.4617173093882787,,,,,,
