period,session,checkpoint,vti_proxy,opening_state,opening_sign,event_id,eligible_stock_count,acted_stock_count,included_in_total_event_count,included_in_positive_count,included_in_negative_count,exact_explanation
assessment,2025-03-13,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-1b9c60354404c3985b4d086b,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-03-14,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-97a94a622508f3dcb51fedd7,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-03-17,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-e022aca4482bf710c059a68f,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-18,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-357caad24b2cb35ffbf8ba63,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-19,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-8c020a33aa42032308b1a857,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-03-20,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-1a6746df4617d629acf190ff,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-03-24,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-63fc8f4f9ddeacfa913bc828,5,5,True,True,False,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-28,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-1aa4e314f6ae9e29713d74bc,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-02,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-53e9ee41e0495ab4c7edd4a1,6,6,True,True,False,"Corrected common population: the severe VTI event contains 6 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-07,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-7f2253cc34cb931d64e7afb4,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-04-09,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-5b909561dff073acbe3d5d4e,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-04-10,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-fd3aab7197dcddcb42093b0c,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-04-11,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-3c7e554b0525876e422f3ec9,3,3,True,True,False,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-14,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-dd84a2d4e0ab3e98b0042d7c,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-15,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-45ca1bd160f2afc1d7f6cee1,5,5,True,True,False,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-16,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-7b83466700634c8ba5fca992,2,2,True,False,True,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-21,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-44486132973100cda7a44063,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-22,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-568c4f0994370a24f4c2e708,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-23,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-ac2e8e12502fc4cdab03ee70,5,5,True,True,False,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-24,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-d336104487d03f6ac2d459bd,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-04-29,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-0372c244bf6b6451dee17565,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-04-30,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-eab315297000448dc1052a4e,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-05-12,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-41606cab932b90aae12dfe91,7,7,True,False,True,"Corrected common population: the severe VTI event contains 7 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-05-13,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-972f5ca66576082b210ca123,6,6,True,True,False,"Corrected common population: the severe VTI event contains 6 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-05-19,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-283de66b8122f5b35538079c,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-05-22,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-226f84f7371b68663031bfbc,3,3,True,True,False,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-05-23,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-234097c1260cb66b97412d77,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-05-30,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-04cedf0e092415f55f8fa212,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-06-02,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-b04edbe0916c06015da2f2b9,4,4,True,False,True,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-06-05,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-680b3a00b39a1dba52c2fd51,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-06-16,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-763bc9895930efdf5b612143,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-06-23,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-5ec585e4cb02ea08fdf7c085,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-07-15,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-0327f02602d730d8f3366521,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-07-17,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-f949128cba6fc1727dc7ec19,4,4,True,True,False,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-07-22,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-c0920ecb2ab4bcf800e99c05,6,6,True,False,True,"Corrected common population: the severe VTI event contains 6 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-08-01,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-abb585cc4f1fe941c25a7435,4,4,True,False,True,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-08-04,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-287fb6c9a7251b548077c0ad,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-08-15,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-95d3cc1350219a3e0f273b78,5,5,True,False,True,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-08-20,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-3aaf98f8e151222c23fe2c4e,4,4,True,False,True,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-01-11,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-4a3bdfc7e863bf1f27da3303,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-01-22,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-72a77fdd3b86ac127f66b386,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-02-16,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-604da238a285b0385c696265,2,2,True,False,True,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-02-22,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-9f6c331e4f586657a9cc1ca0,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-03-08,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-5859fd8b4ad91ee1f38dc067,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-03-14,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-bac8eb95620d788f857c2aa3,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-04-05,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-a434296559a242f1c31d2172,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-04-23,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-814968fdb35d47a228640567,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-04-26,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-5f7701f1e40600b2292a6eb2,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-05-02,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-61bd91b061c00255110dc2d1,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-05-23,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-45a0905af007a59289c4810d,4,4,True,False,True,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-06-03,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-d6644be4e58972d5e3685b80,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-06-11,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-46cf484f36b52129d3824731,4,4,True,False,True,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-07-17,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-284ed2beff1a3bc54bc0654b,5,5,True,True,False,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-07-24,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-44b702454f63aeb5e0ec2614,2,2,True,False,True,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-08-01,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-4ae836a29f9cbe1a02ef226e,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
development,2024-08-02,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-8c6589fa427f765a483b522e,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-08-05,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-c699c09b68faa39b62741695,5,5,True,True,False,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-08-06,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-96f23dba4927d18255cba98a,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-08-12,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-fb91bb2ba50ec34aca75b0d0,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-08-13,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-4b3149a89bdacb4e94638db0,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-08-14,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-a3093d2a7f58fd62fcdb3a20,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-09-03,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-53bfd434ee01ac435b628081,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-09-04,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-9784d8c76b870ca0da7972fe,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
development,2024-09-11,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-f303c317d0a1665fc65da8e8,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
