opening_transition_event_id_v1,period,session,checkpoint,market_proxy_v1,opening_transition_sign_v1,opening_market_transition_state_v1,stock_episode_count,stock_count,stocks_json,amplifying_count,resisting_count,material_up_count,material_down_count,no_material_move_count
opening-transition-v1-53e9ee41e0495ab4c7edd4a1,assessment,2025-04-02,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,6,6,"[""AAL"",""IONQ"",""MARA"",""MSTR"",""RGTI"",""RIVN""]",5,1,3,0,3
opening-transition-v1-568c4f0994370a24f4c2e708,assessment,2025-04-22,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""IREN"",""MARA""]",2,0,2,0,0
opening-transition-v1-5859fd8b4ad91ee1f38dc067,development,2024-03-08,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""SOFI""]",1,0,1,0,0
opening-transition-v1-5ec585e4cb02ea08fdf7c085,assessment,2025-06-23,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""IONQ"",""IREN""]",0,2,1,0,1
opening-transition-v1-604da238a285b0385c696265,development,2024-02-16,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""MARA"",""SOFI""]",2,0,1,1,0
opening-transition-v1-61bd91b061c00255110dc2d1,development,2024-05-02,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""HIMS""]",1,0,0,0,1
opening-transition-v1-63fc8f4f9ddeacfa913bc828,assessment,2025-03-24,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,5,5,"[""IREN"",""MSTR"",""RGTI"",""SMCI"",""WULF""]",5,0,4,0,1
opening-transition-v1-680b3a00b39a1dba52c2fd51,assessment,2025-06-05,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""RIOT""]",1,0,1,0,0
opening-transition-v1-6e6533d2a0f9494739eeeb59,stress,2025-09-25,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,9,9,"[""AAL"",""ASTS"",""CIFR"",""IREN"",""MARA"",""MP"",""RIVN"",""SOFI"",""WULF""]",5,4,2,1,6
opening-transition-v1-6ee3a496ec9d2dcd9fc94ad4,stress,2025-12-04,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,5,5,"[""ASTS"",""IONQ"",""MARA"",""MP"",""RIVN""]",2,3,4,0,1
opening-transition-v1-7b83466700634c8ba5fca992,assessment,2025-04-16,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""IONQ"",""IREN""]",0,2,2,0,0
opening-transition-v1-7d39a20dc68631169b8d2be1,stress,2025-12-19,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,7,7,"[""APLD"",""ASTS"",""CIFR"",""IONQ"",""IREN"",""QBTS"",""RGTI""]",7,0,0,1,6
opening-transition-v1-814968fdb35d47a228640567,development,2024-04-23,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""AAL""]",1,0,0,0,1
opening-transition-v1-8c6589fa427f765a483b522e,development,2024-08-02,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""MARA"",""SOFI""]",1,2,0,3,0
opening-transition-v1-95d3cc1350219a3e0f273b78,assessment,2025-08-15,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,5,5,"[""AAOI"",""APLD"",""QBTS"",""RIOT"",""WULF""]",4,1,2,0,3
opening-transition-v1-96f23dba4927d18255cba98a,development,2024-08-06,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""MARA"",""MSTR""]",0,2,2,0,0
opening-transition-v1-972f5ca66576082b210ca123,assessment,2025-05-13,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,6,6,"[""ASTS"",""CIFR"",""IONQ"",""MARA"",""MP"",""WULF""]",3,3,1,2,3
opening-transition-v1-9784d8c76b870ca0da7972fe,development,2024-09-04,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""ASTS""]",0,1,1,0,0
opening-transition-v1-9a2cdc33dd258ffe80bc1790,development,2024-10-01,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""HIMS""]",1,0,0,1,0
opening-transition-v1-9cc6a7c67066e7a4be540c70,stress,2025-09-26,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,6,6,"[""AAL"",""CIFR"",""HIMS"",""MP"",""QBTS"",""RIOT""]",2,4,0,4,2
opening-transition-v1-a3093d2a7f58fd62fcdb3a20,development,2024-08-14,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAOI"",""HIMS"",""SMCI""]",3,0,1,1,1
opening-transition-v1-a41f0f4771e5664df1ce183d,assessment,2025-02-25,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""MRNA""]",0,1,0,0,1
opening-transition-v1-abb585cc4f1fe941c25a7435,assessment,2025-08-01,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""AAL"",""MARA"",""MP"",""SOFI""]",3,1,4,0,0
opening-transition-v1-ac2a21d993b5e017ebad89e5,assessment,2025-02-27,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""MRNA""]",1,0,1,0,0
opening-transition-v1-ac2e8e12502fc4cdab03ee70,assessment,2025-04-23,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,5,5,"[""AAL"",""HIMS"",""IREN"",""MARA"",""SMCI""]",2,3,1,1,3
opening-transition-v1-ae46af0363851978997c5e7f,assessment,2025-01-13,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,3,3,"[""MARA"",""SMCI"",""WULF""]",1,2,0,0,3
opening-transition-v1-b04edbe0916c06015da2f2b9,assessment,2025-06-02,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""AAL"",""APLD"",""IONQ"",""MRNA""]",2,2,2,0,2
opening-transition-v1-b303b6fee2556361c62dd340,assessment,2025-02-20,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""ASTS"",""SOFI""]",2,0,1,0,1
opening-transition-v1-c0920ecb2ab4bcf800e99c05,assessment,2025-07-22,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,6,6,"[""AAOI"",""ASTS"",""IREN"",""MSTR"",""QBTS"",""WULF""]",6,0,6,0,0
opening-transition-v1-c3397cc917725f8eace3063f,stress,2025-11-19,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,8,8,"[""AAL"",""IONQ"",""MARA"",""MP"",""NVTS"",""QBTS"",""SOFI"",""WULF""]",5,3,5,0,3
opening-transition-v1-c699c09b68faa39b62741695,development,2024-08-05,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,5,5,"[""AAL"",""APLD"",""MARA"",""RIOT"",""SOFI""]",5,0,2,1,2
opening-transition-v1-c6fb9de09de7ecbd29d2feb2,assessment,2025-03-03,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""MARA"",""RIOT""]",2,1,0,2,1
opening-transition-v1-d004ef617fa18b228ea473e4,stress,2025-11-18,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,9,9,"[""CIFR"",""IONQ"",""IREN"",""MSTR"",""NVTS"",""QBTS"",""RIVN"",""SOFI"",""WULF""]",3,6,2,0,7
opening-transition-v1-d0379557390b7017fe3ac4ca,development,2024-10-17,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""CIFR"",""IREN""]",2,0,0,0,2
opening-transition-v1-d1c0e549ef42c1a5d8642e18,assessment,2025-01-15,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""CIFR""]",0,1,0,0,1
opening-transition-v1-d2eb49d3a18a3a7db9caf1b6,assessment,2025-01-14,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""WULF""]",0,1,1,0,0
opening-transition-v1-d336104487d03f6ac2d459bd,assessment,2025-04-24,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""IREN""]",0,1,1,0,0
opening-transition-v1-d6644be4e58972d5e3685b80,development,2024-06-03,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""HIMS"",""MRNA""]",0,3,1,1,1
opening-transition-v1-daa908eafbb1b43c93e46488,stress,2025-11-14,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,14,14,"[""APLD"",""CIFR"",""HIMS"",""IONQ"",""IREN"",""MP"",""MSTR"",""NVTS"",""QBTS"",""RGTI"",""RIOT"",""RIVN"",""SOFI"",""WULF""]",12,2,0,13,1
opening-transition-v1-dd84a2d4e0ab3e98b0042d7c,assessment,2025-04-14,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""IONQ"",""QBTS""]",3,0,0,0,3
opening-transition-v1-e022aca4482bf710c059a68f,assessment,2025-03-17,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""AAL"",""HIMS""]",1,1,0,0,2
opening-transition-v1-e2928efa57ae0e0280c3d164,development,2024-10-04,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,5,5,"[""CIFR"",""HIMS"",""IONQ"",""RIVN"",""SMCI""]",3,2,0,2,3
opening-transition-v1-eb91820d78dbb495c332b395,development,2024-11-21,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""CIFR"",""IREN""]",2,0,0,1,1
opening-transition-v1-ecc3128a49dccaf05fb89945,assessment,2025-01-10,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""MP"",""SMCI"",""WULF""]",0,3,0,1,2
opening-transition-v1-ed8bb5bba4aa5cea57d2d6a3,stress,2025-12-11,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,5,5,"[""AAOI"",""CIFR"",""IONQ"",""MSTR"",""QBTS""]",5,0,3,0,2
opening-transition-v1-ef640c017757db84a8acd452,development,2024-11-06,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""AAL"",""CIFR""]",1,1,0,0,2
opening-transition-v1-f584e64ed71c4e86ffb1ca8d,assessment,2025-03-04,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""AAL"",""ASTS"",""RIOT"",""SOFI""]",3,1,1,1,2
opening-transition-v1-f949128cba6fc1727dc7ec19,assessment,2025-07-17,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,4,4,"[""APLD"",""ASTS"",""HIMS"",""RIVN""]",3,1,1,0,3
opening-transition-v1-fb91bb2ba50ec34aca75b0d0,development,2024-08-12,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""HIMS""]",0,1,0,0,1
opening-transition-v1-fff6a1d1e080c3c8f0da071f,stress,2025-11-05,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,8,8,"[""AAL"",""APLD"",""CIFR"",""HIMS"",""MARA"",""NVTS"",""RIOT"",""RIVN""]",6,2,0,6,2
