subsystem,file,function_or_class,active_or_frozen,purpose,inputs,outputs,current_duration_semantics,terminal_run_semantics,gap_semantics,deterministic_ordering,sampling_semantics,consumers,proposed_change,frozen_impact,tests,audit_status,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,part_b_interaction_scoring_enabled,semantic_dictionary_promotion_enabled
training_sampling_sensitivity,packages/stocker_research/src/stocker_research/regime_validity_v2.py,build_training_sample,active,"Build four frozen non-economic sample policies",development descriptors,row indices,not_applicable,not_applicable,not_applicable,stable sorted indices,"stride; stock; stock-month; stock-month-clock",validity sensitivity,"Reuse unchanged in repaired Part A rerun",none,tests/test_regime_model_validity_v2.py,inspected,true,false,disabled,false,false,false,false,false,false,false
clustering,packages/stocker_research/src/stocker_research/regime_validity_v2.py,fit_clustered_semimarkov,active,"Fit deterministic audit-only MiniBatchKMeans state model",scaled emissions+sample rows+seed,raw and cleaned labels+parameters,legacy maximum support configurable,"inherits run ledger semantics supplied by fit",group boundaries supplied,stable sample index order,fixed row indices,K-seed and sample sensitivity,"Add explicit right-censored run ledger and deterministic serialization",none,package and research validity tests,inspected,true,false,disabled,false,false,false,false,false,false,false
cleanup,research/slrno-v2/20260714-regime-loop-handoff/work/shadow_validation/frozen_loop_movement_shadow_v1/frozen_bundle/provenance/lineage/run_causal_semimarkov_regime_loops.py,clean_short_runs,frozen,"Two-pass minimum-run cleanup using adjacent run candidates",raw labels+scaled rows+centroids,cleaned offline labels,not_applicable,"future neighbor may affect replacement",nominal session groups,group and run order,not_applicable,historical semi-Markov fit,"Preserve unchanged in primary full-refit lineage; keep no-clean and causal sensitivities separate",none,"cleanup reconstruction tests; prior audit",inspected_future_neighbor_confirmed,true,false,disabled,false,false,false,false,false,false,false
semantic_mapping,research/slrno-v2/20260714-regime-loop-handoff/work/shadow_validation/frozen_loop_movement_shadow_v1/frozen_bundle/provenance/lineage/run_causal_semimarkov_regime_loops.py,semantic_remap,frozen,"Map arbitrary cluster IDs by activity then direction",cleaned labels+raw feature frame,semantic labels+mapping,not_applicable,not_applicable,not_applicable,deterministic lexicographic ordering,not_applicable,state model fit,"Reuse unchanged and archive mapping",none,semantic-mapping reconstruction tests,inspected,true,false,disabled,false,false,false,false,false,false,false
offline_runs,research/slrno-v2/20260714-regime-loop-handoff/work/shadow_validation/frozen_loop_movement_shadow_v1/frozen_bundle/provenance/lineage/run_causal_semimarkov_regime_loops.py,offline_runs,frozen,"Compress cleaned labels to state runs",labels+nominal groups,run ledger,"durations observed through group end","all group-terminal runs implicitly look like exact durations","nominal sessions only; gaps can terminate groups only if caller split them",group order then run order,not_applicable,historical parameter fit,"Replace only in new lineage with explicit ending classification",none,"prior audit identified terminal-censoring defect",defect_confirmed,true,false,disabled,false,false,false,false,false,false,false
historical_parameter_fit,research/slrno-v2/20260714-regime-loop-handoff/work/shadow_validation/frozen_loop_movement_shadow_v1/frozen_bundle/provenance/lineage/run_causal_semimarkov_regime_loops.py,estimate_semimarkov,frozen,"Fit emissions transitions initials and duration hazards",scaled rows+labels+runs,8-state parameter arrays,"ages 1-24; age 24 forced hazard one","terminal runs counted as exits","gap ending not distinguished",state and age ascending,not_applicable,frozen historical model,"Do not modify; create right-censored ages 1-78 estimator",none,"prior mathematical audit; new independent censor audit required",critical_local_defect_confirmed,true,false,disabled,false,false,false,false,false,false,false
corrected_duration_reference,packages/stocker_research/src/stocker_research/loop_duration_v2.py,DiscreteSurvivalDurationModel,active,"Fit discrete duration survival with censoring",DurationObservation rows,at-risk/exits/hazard/distribution,"right-censored observations remain at risk and add no exit","explicit terminal_right_censored boolean",caller must exclude gaps,deterministic group/state/age loops,not_applicable,loop timing nulls,"Use as mathematical reference; add state-specific tail backoff and ending statuses",none,tests/test_loop_duration_v2.py,inspected_correct_censor_reference,true,false,disabled,false,false,false,false,false,false,false
historical_tail_expansion,packages/stocker_research/src/stocker_research/causal_state_export_v2.py,expand_duration_hazard_v2,active,"Expand historical forced-24 hazard to 78 using mean preterminal tail",frozen parameter arrays,expanded hazard,"retains ages 1-23 and replaces age 24 onward with tail mean","does not refit censored terminal runs",not_applicable,state then age order,not_applicable,current audited posterior,"Retain historical meaning; repaired lineages use newly estimated hazard",none,tests/test_causal_state_export_v2.py,inspected_not_a_censoring_repair,true,false,disabled,false,false,false,false,false,false,false
posterior_propagation,packages/stocker_research/src/stocker_research/causal_state_export_v2.py,propagate_state_age_posterior,active,"Advance state-age posterior with duration hazard and transition matrix",state-age mass+hazard+transitions,normalized predicted mass,"supports full configured age surface",not_applicable,"caller-defined groups reset segments",state then age array order,not_applicable,causal filter,"Reuse unchanged with repaired 78-age hazards and segment groups",none,tests/test_causal_state_export_v2.py,inspected_math_passed,true,false,disabled,false,false,false,false,false,false,false
causal_filter,packages/stocker_research/src/stocker_research/causal_state_export_v2.py,causal_semimarkov_filter_v2,active,"Forward-only completed-bar state×age posterior",log emissions+segment groups+parameters,state posterior+hard state+age+departure,"uses full hazard support","does not infer terminal exits","resets at each supplied group",strict group positions,not_applicable,state exporter+loop reconstruction,"Reuse with explicit gap segments; audit remaining-session constraints",none,"existing state-posterior tests; prior independent audit",inspected_math_and_causality_passed,true,false,disabled,false,false,false,false,false,false,false
hysteresis,packages/stocker_research/src/stocker_research/state_representation_sensitivity_v2.py,hysteretic_states_by_session,active,"Causal stabilization using current/past posterior only",posterior+segment groups+fixed thresholds,hysteretic labels,not_applicable,not_applicable,"resets at supplied segment groups",group positions,not_applicable,representation sensitivity,"Reuse with gap segments and distinct repaired model identity",none,tests/test_regime_model_validity_v2.py,inspected,true,false,disabled,false,false,false,false,false,false,false
state_run_export,packages/stocker_research/src/stocker_research/causal_state_export_v2.py,build_hard_state_runs_v2,active,"Export state runs with causal entry provenance",completed bars+labels,run ledger,"run duration is observed bar count","terminal status absent","groups nominal symbol-session; caller surface does not encode segment ID",input frame order,not_applicable,loop event ledgers,"Add repaired run builder with explicit segment and ending status",none,tests/test_causal_state_export_v2.py,inspected_gap_extension_needed,true,false,disabled,false,false,false,false,false,false,false
state_alignment,packages/stocker_research/src/stocker_research/state_alignment_v2.py,align_states,active,"Hungarian matching by emission transition and duration profiles",reference and candidate profiles,deterministic mapping+costs,"duration profile contributes weighted distance",not_applicable,not_applicable,state IDs sorted then assignment,not_applicable,K-seed/model comparison,"Reuse unchanged for frozen-duration/full-refit comparison",none,tests/test_regime_model_validity_v2.py,inspected,true,false,disabled,false,false,false,false,false,false,false
loop_representation,packages/stocker_research/src/stocker_research/state_representation_sensitivity_v2.py,build_loop_ledgers_by_representation,active,"Rebuild corrected primitive events under hard/hysteretic/soft-support surfaces",decisions+labels+dictionary,event ledgers,not_applicable,not_applicable,"resets follow supplied session grouping",decision order,not_applicable,Regime Validity V2,"Reuse diagnostically only; no dictionary promotion or interaction scoring",none,existing loop-event and validity tests,inspected,true,false,disabled,false,false,false,false,false,false,false
validity_pipeline,research/slrno-v2/20260714-regime-loop-handoff/work/regime_validity_pipeline_v2.py,run,frozen,"Run complete Regime Model Validity V2 Part A gates",2024+2025 panels+frozen contract,47 primary evidence artifacts,"audits expanded historical hazard but reports terminal-fit failure","parameter-censoring gate fails","posterior split at gaps; preserved exporter caveat recorded",deterministic artifact writer,"K×seed and four fixed sample policies",Part A decision,"Create new repaired rerun surface that reads thresholds unchanged",none,tests/test_regime_model_validity_v2.py,inspected_gate_contract_recovered,true,false,disabled,false,false,false,false,false,false,false
validity_auditor,research/slrno-v2/20260714-regime-loop-handoff/work/audit_regime_model_validity_v2.py,audit,frozen,"Independently reconstruct Part A sources math fits alignments loops and gates",primary+exact artifacts+source bars,independent audit JSON,"independently confirms terminal-run defect","terminal training count reconstructed","independent split-gap groups",deterministic calculations,same contract surfaces,Part A freeze,"Create separate repair auditor with independent duration arithmetic",none,existing audit tests and committed pass artifact,inspected_pass,true,false,disabled,false,false,false,false,false,false,false
historical_panel_dependency,absent:run_sealed_2025_sec_raw_activity_validation.py,missing panel-base module,frozen_missing,"Historical source dependency referenced by report is unavailable",unavailable,unavailable,unknown,unknown,unknown,unknown,unknown,historical byte-refit,"Do not fabricate; archive fully specified repaired V2 panel and declare new lineage",none,prior report missing-evidence section,confirmed_absent,true,false,disabled,false,false,false,false,false,false,false

