representation,previous_state,current_state,loop_pair_id,loop_orientation,rows_development,stocks_development,sessions_development,closure_rate_development,closure_lift_development,bootstrap_ci_low_development,bootstrap_ci_high_development,q_value_development,supported_development,rows_assessment,stocks_assessment,sessions_assessment,closure_rate_assessment,closure_lift_assessment,bootstrap_ci_low_assessment,bootstrap_ci_high_assessment,q_value_assessment,supported_assessment,development_selected,same_direction,assessment_significant_same_direction
CAUSAL_HARD_SEMANTIC,5,0,loop_p_0-5-0,5->0->5,201,21,112,0.402985074627,-0.280285602065,-0.375985285405,-0.181292564145,0.00124180334075,True,227,22,107,0.396475770925,-0.209671477109,-0.315923826785,-0.105216258919,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,5,1,loop_p_1-5-1,5->1->5,1303,22,238,0.167306216424,-0.264086361036,-0.286822586308,-0.241342672386,0.00124180334075,True,1252,22,231,0.174920127796,-0.244648233535,-0.269980157397,-0.219804132715,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,5,2,loop_p_2-5-2,5->2->5,602,22,191,0.355481727575,-0.076965518246,-0.119648896853,-0.0342450350253,0.00124180334075,True,570,22,177,0.338596491228,-0.0932993243142,-0.148440412352,-0.0388711262484,0.00355085615087,True,True,True,True
CAUSAL_HARD_SEMANTIC,5,3,loop_p_3-5-3,5->3->5,2,1,2,0,-0.384542324587,,,,False,2,2,2,0,-0.341100141044,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,5,4,loop_p_4-5-4,5->4->5,177,20,128,0.175141242938,-0.284821980064,,,,False,139,18,96,0.165467625899,-0.293761625165,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,5,6,loop_p_5-6-5,5->6->5,1682,22,249,0.149821640904,-0.264339949029,-0.283911423854,-0.245980594884,0.00124180334075,True,1758,22,243,0.151308304892,-0.249537984273,-0.274514237509,-0.225180001942,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,5,7,loop_p_5-7-5,5->7->5,3322,22,252,0.373871161951,0.034062949509,0.00473483058413,0.0624207156383,0.0243661952807,True,3718,22,249,0.366057019903,0.0285145235457,-0.00184993146525,0.059203286457,0.0749625187406,True,True,True,False
CAUSAL_HARD_SEMANTIC,6,0,loop_p_0-6-0,6->0->6,64,20,37,0.234375,-0.425908097419,,,,False,231,19,61,0.320346320346,-0.299008518363,-0.370063136122,-0.233368266521,0.00124937531234,True,False,True,False
CAUSAL_HARD_SEMANTIC,6,1,loop_p_1-6-1,6->1->6,10887,22,252,0.494167355562,0.190609256532,0.172376113557,0.208009451967,0.00124180334075,True,11272,22,250,0.496983676366,0.225558695215,0.20545956791,0.245074190026,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,6,2,loop_p_2-6-2,6->2->6,757,22,210,0.441215323646,0.0239285463134,-0.0184949048225,0.066918024135,0.300849575212,True,967,22,213,0.432264736298,0.0128572252178,-0.0236175494,0.0493927706766,0.468765617191,True,False,True,False
CAUSAL_HARD_SEMANTIC,6,3,loop_p_3-6-3,6->3->6,4101,22,250,0.529139234333,0.191177360951,0.170318012138,0.211623105244,0.00124180334075,True,4882,22,250,0.520893076608,0.248179958663,0.226476018655,0.27035263665,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,6,4,loop_p_4-6-4,6->4->6,2415,22,252,0.391718426501,-0.0800068459645,-0.105332471152,-0.0552467089353,0.00124180334075,True,1746,22,245,0.400343642612,-0.0666139633734,-0.0941779730606,-0.0393243749458,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,6,5,loop_p_5-6-5,6->5->6,1098,22,238,0.595628415301,0.116955429519,0.0793525267787,0.155000791079,0.00124180334075,True,1165,22,211,0.572532188841,0.0700051130289,0.0218426552562,0.119801947184,0.00674662668666,True,True,True,True
CAUSAL_HARD_SEMANTIC,6,7,loop_p_6-7-6,6->7->6,1238,22,247,0.303715670436,-0.0617533589899,-0.0923996044881,-0.0335037574401,0.00124180334075,True,1309,22,233,0.302521008403,-0.0582879390457,-0.0882872313297,-0.0296354907923,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,7,0,loop_p_0-7-0,7->0->7,198,20,115,0.313131313131,-0.386025200458,,,,False,228,22,120,0.311403508772,-0.308768165048,-0.383734123821,-0.234956378661,0.00124937531234,True,False,True,False
CAUSAL_HARD_SEMANTIC,7,1,loop_p_1-7-1,7->1->7,1198,22,247,0.217863105175,-0.20854858321,-0.231836865103,-0.183719188427,0.00124180334075,True,1294,22,246,0.191653786708,-0.227280200803,-0.252135631183,-0.201518761229,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,7,2,loop_p_2-7-2,7->2->7,724,22,202,0.269337016575,-0.183455725132,-0.224194860697,-0.143247571524,0.00124180334075,True,723,22,205,0.26694329184,-0.179536513943,-0.219384135678,-0.140591340278,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,7,3,loop_p_3-7-3,7->3->7,2078,22,249,0.21270452358,-0.195961691721,-0.218670787279,-0.173672410896,0.00124180334075,True,2309,22,248,0.194456474664,-0.168560777898,-0.192171166386,-0.144467404487,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,7,4,loop_p_4-7-4,7->4->7,663,22,228,0.211161387632,-0.258781111061,-0.288448739161,-0.227057713486,0.00124180334075,True,533,22,196,0.251407129456,-0.215396726279,-0.257362315683,-0.172171090098,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,7,5,loop_p_5-7-5,7->5->7,2575,22,251,0.540194174757,0.0733695302075,0.0422164929386,0.104677406149,0.00124180334075,True,2824,22,243,0.561260623229,0.0925106232295,0.051949521949,0.13178589622,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,7,6,loop_p_6-7-6,7->6->7,1760,22,249,0.198863636364,-0.212004621106,-0.23308630799,-0.190913524872,0.00124180334075,True,1892,22,247,0.229915433404,-0.165414486688,-0.192200117977,-0.137697455011,0.00124937531234,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,0,1,loop_p_0-1-0,0->1->0,14,9,8,0.0714285714286,-0.330693775638,,,,False,43,16,27,0.0697674418605,-0.32131952808,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,0,2,loop_p_0-2-0,0->2->0,827,22,195,0.656590084643,0.32337366935,0.281870190469,0.363713052163,0.00124937531234,True,977,22,180,0.560900716479,0.184509943073,0.134449868477,0.232534411077,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,0,3,loop_p_0-3-0,0->3->0,21,11,16,0.285714285714,-0.0938187829798,,,,False,32,14,24,0.03125,-0.306792509864,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,0,4,loop_p_0-4-0,0->4->0,21,7,15,0.142857142857,-0.304838880926,,,,False,24,7,21,0.125,-0.326037537888,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,0,5,loop_p_0-5-0,0->5->0,257,22,126,0.214007782101,-0.298356442535,-0.359769627568,-0.235374934125,0.00124937531234,True,261,22,118,0.241379310345,-0.287498760025,-0.35339868447,-0.224692609395,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,0,6,loop_p_0-6-0,0->6->0,28,15,17,0.107142857143,-0.269359787512,,,,False,128,19,47,0.1953125,-0.166537621852,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,0,7,loop_p_0-7-0,0->7->0,154,22,90,0.162337662338,-0.182608979219,,,,False,189,20,107,0.132275132275,-0.207050376565,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,1,0,loop_p_0-1-0,1->0->1,27,14,18,0.185185185185,-0.451421957672,,,,False,63,18,32,0.111111111111,-0.491910866911,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,1,2,loop_p_1-2-1,1->2->1,305,22,158,0.196721311475,-0.228123040733,-0.271235154125,-0.182113001916,0.00124937531234,True,415,21,155,0.219277108434,-0.214911730747,-0.255764690038,-0.171131490658,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,1,3,loop_p_1-3-1,1->3->1,4065,22,252,0.174169741697,-0.282341950696,-0.29885176121,-0.265667198149,0.00124937531234,True,4510,22,250,0.161640798226,-0.246333569876,-0.263734398929,-0.229308458799,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,1,4,loop_p_1-4-1,1->4->1,2933,22,251,0.282304807364,-0.226355406594,-0.249848746602,-0.201412760493,0.00124937531234,True,2280,22,247,0.284210526316,-0.22575467457,-0.254462204097,-0.19833482071,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,1,5,loop_p_1-5-1,1->5->1,306,22,152,0.258169934641,-0.254452786257,-0.305454979005,-0.204814435954,0.00124937531234,True,296,22,134,0.243243243243,-0.287755864696,-0.351339632848,-0.227247793599,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,1,6,loop_p_1-6-1,1->6->1,6531,22,252,0.574184657786,0.304002899148,0.283684208695,0.324502903186,0.00124937531234,True,6664,22,250,0.550270108043,0.285452478864,0.261725405478,0.308907992167,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,1,7,loop_p_1-7-1,1->7->1,618,22,221,0.153721682848,-0.206467890612,-0.238218382453,-0.172469984822,0.00124937531234,True,619,22,211,0.140549273021,-0.212093164687,-0.24429987782,-0.179116466365,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,2,0,loop_p_0-2-0,2->0->2,614,22,159,0.900651465798,0.591082985498,0.53343535808,0.645138705357,0.00124937531234,True,681,22,150,0.933920704846,0.63678466666,0.584741358751,0.687576195426,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,2,1,loop_p_1-2-1,2->1->2,320,22,160,0.275,-0.129416443935,-0.182295876844,-0.0728772654517,0.00124937531234,True,484,22,164,0.202479338843,-0.193523199228,-0.227414494476,-0.159218736588,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,2,3,loop_p_2-3-2,2->3->2,601,22,205,0.337770382696,-0.0433820362641,-0.0854127680024,-0.00290151805619,0.0411558926419,True,1076,22,200,0.331784386617,-0.00604792422135,-0.0356738867656,0.0213448350844,0.681659170415,True,True,True,False
CAUSAL_HYSTERETIC_SEMANTIC,2,4,loop_p_2-4-2,2->4->2,204,22,118,0.382352941176,-0.0659978763266,-0.145968223102,0.0136997397059,0.109418974723,True,259,22,118,0.401544401544,-0.0500917005771,-0.12416793534,0.0178805612413,0.157221389305,True,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,2,5,loop_p_2-5-2,2->5->2,499,21,174,0.649298597194,0.172432012127,0.126896341123,0.214927344333,0.00124937531234,True,446,22,151,0.632286995516,0.131364060583,0.0700645385893,0.189445814901,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,2,6,loop_p_2-6-2,2->6->2,857,22,220,0.353558926488,-0.0236213060704,-0.055188726394,0.0102216038118,0.184523123054,True,1100,22,218,0.297272727273,-0.0672327202812,-0.0962511090515,-0.0387181322835,0.0012934709116,True,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,2,7,loop_p_2-7-2,2->7->2,336,21,152,0.452380952381,0.117809062236,0.0580247213007,0.177133564142,0.00124937531234,True,306,22,133,0.375816993464,0.0440964007819,-0.0121265415396,0.101706902998,0.139827522136,True,True,True,False
CAUSAL_HYSTERETIC_SEMANTIC,3,0,loop_p_0-3-0,3->0->3,42,11,30,0.238095238095,-0.402628743805,,,,False,114,20,55,0.157894736842,-0.459187113692,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,3,1,loop_p_1-3-1,3->1->3,1982,22,250,0.377396569122,-0.0278838180114,-0.0541570576104,-0.000731635431737,0.0488644566606,True,2139,22,247,0.374006545115,-0.0186910798411,-0.0499474069256,0.0121818716119,0.240270108848,True,True,True,False
CAUSAL_HYSTERETIC_SEMANTIC,3,2,loop_p_2-3-2,3->2->3,582,22,201,0.453608247423,0.0566444231333,0.00821418373466,0.10331918139,0.0230187936335,True,1067,22,189,0.540768509841,0.163021639187,0.119349625271,0.203717941012,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,3,4,loop_p_3-4-3,3->4->3,4599,22,252,0.631441617743,0.321386654924,0.300070405333,0.342996184145,0.00124937531234,True,3824,22,247,0.614278242678,0.29552562652,0.269693075988,0.320080369492,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,3,5,loop_p_3-5-3,3->5->3,37,15,33,0,-0.499670112162,,,,False,36,19,30,0,-0.517074198988,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,3,6,loop_p_3-6-3,3->6->3,5603,22,252,0.301267178297,-0.106737691585,-0.126823385488,-0.0863111539671,0.00124937531234,True,6600,22,250,0.321818181818,-0.0583996040257,-0.0845705021501,-0.0323167240079,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,3,7,loop_p_3-7-3,3->7->3,985,22,233,0.459898477157,0.140461552415,0.100353159852,0.178949513518,0.00124937531234,True,926,22,222,0.496760259179,0.188285117371,0.144002748788,0.235366667694,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,4,0,loop_p_0-4-0,4->0->4,36,11,29,0.333333333333,-0.302130213021,,,,False,33,10,31,0.0909090909091,-0.502630612994,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,4,1,loop_p_1-4-1,4->1->4,2145,22,252,0.336130536131,-0.0758501680238,-0.101606613599,-0.0502573671683,0.00124937531234,True,1654,22,242,0.264207980653,-0.14031566568,-0.16776983572,-0.113279791494,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,4,2,loop_p_2-4-2,4->2->4,176,22,106,0.255681818182,-0.157796194382,,,,False,244,22,121,0.344262295082,-0.0747055636777,-0.145451253184,-0.0108769204561,0.0195457826642,True,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,4,3,loop_p_3-4-3,4->3->4,4743,22,252,0.520978283787,0.207794179655,0.189334519995,0.227024932852,0.00124937531234,True,3680,22,249,0.425815217391,0.115356076002,0.092397068887,0.137514938574,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,4,5,loop_p_4-5-4,4->5->4,187,22,120,0.16577540107,-0.343890280077,,,,False,133,22,91,0.187969924812,-0.334517701614,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,4,6,loop_p_4-6-4,4->6->4,2734,22,252,0.308339429407,-0.0793315467964,-0.103103035295,-0.0560278261243,0.00124937531234,True,2138,22,246,0.23012160898,-0.146447428677,-0.170155881587,-0.122141412089,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,4,7,loop_p_4-7-4,4->7->4,306,22,172,0.28431372549,-0.0590946346384,-0.117926539016,0.0013295635811,0.0615908262085,True,280,22,149,0.253571428571,-0.0834767641997,-0.144477318045,-0.0174634522162,0.0202061131596,True,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,5,0,loop_p_0-5-0,5->0->5,189,21,109,0.386243386243,-0.287034275552,,,,False,210,22,103,0.4,-0.21191749427,-0.325761442557,-0.101567194714,0.0012934709116,True,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,5,1,loop_p_1-5-1,5->1->5,1241,22,239,0.142626913779,-0.280951805885,-0.302880747154,-0.255727934411,0.00124937531234,True,1201,22,228,0.142381348876,-0.267643247282,-0.293894979377,-0.239924373518,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,5,2,loop_p_2-5-2,5->2->5,556,22,187,0.338129496403,-0.0798717848271,-0.127665171401,-0.029719288528,0.00124937531234,True,529,22,173,0.323251417769,-0.103557195828,-0.167905600438,-0.0408044821144,0.00251302919969,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,5,3,loop_p_3-5-3,5->3->5,4,3,4,0,-0.379502688172,,,,False,14,10,12,0,-0.337719298246,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,5,4,loop_p_4-5-4,5->4->5,181,20,130,0.182320441989,-0.269301587434,,,,False,137,20,95,0.175182481752,-0.279395191018,,,,False,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,5,6,loop_p_5-6-5,5->6->5,1437,22,249,0.130828114127,-0.265635948734,-0.285321803666,-0.245546180523,0.00124937531234,True,1486,22,245,0.128532974428,-0.251061310663,-0.274403679703,-0.226530121902,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,5,7,loop_p_5-7-5,5->7->5,3152,22,252,0.358502538071,0.0345547016751,0.00221365521362,0.0670348464888,0.0456914399943,True,3555,22,249,0.350773558368,0.0351717753076,0.0033454073257,0.0671093361533,0.0347194823641,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,6,0,loop_p_0-6-0,6->0->6,54,18,32,0.240740740741,-0.404272982956,,,,False,213,19,63,0.361502347418,-0.257180654114,-0.32452818393,-0.186098873614,0.0012934709116,True,False,True,False
CAUSAL_HYSTERETIC_SEMANTIC,6,1,loop_p_1-6-1,6->1->6,9226,22,252,0.486559722523,0.199544446378,0.181061743324,0.218477644308,0.00124937531234,True,9549,22,250,0.483925018327,0.227315608319,0.206078266053,0.248677268914,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,6,2,loop_p_2-6-2,6->2->6,632,22,203,0.412974683544,0.00850981158107,-0.036126778684,0.0514317326037,0.71864067966,True,813,22,205,0.40467404674,-0.0125771873463,-0.0498973886526,0.0276245879192,0.575805120695,True,False,False,False
CAUSAL_HYSTERETIC_SEMANTIC,6,3,loop_p_3-6-3,6->3->6,3606,22,250,0.523017193566,0.189536079894,0.165581873117,0.212851678902,0.00124937531234,True,4399,22,250,0.526483291657,0.26236061606,0.239716979635,0.284912984019,0.0012934709116,True,True,True,True
CAUSAL_HYSTERETIC_SEMANTIC,6,4,loop_p_4-6-4,6->4->6,2188,22,252,0.382541133455,-0.0809926574021,-0.105885893684,-0.0568436877233,0.00124937531234,True,1566,22,243,0.396551724138,-0.0655005783066,-0.0958170551528,-0.035329005213,0.0012934709116,True,True,True,True
