period,arm,dimension,value,episode_count,share
assessment,resistance,market_shock_event,market-shock-v1-8210618121317d2922634b07,1,0.5
assessment,resistance,market_shock_event,market-shock-v1-b3c675a93bccd5bf41bc7c1b,1,0.5
stress,continuation,stock,NVTS,7,0.28
stress,continuation,stock,CIFR,4,0.16
stress,continuation,stock,IREN,4,0.16
stress,continuation,stock,MP,3,0.12
stress,continuation,stock,AAL,1,0.04
stress,continuation,stock,MRNA,1,0.04
stress,continuation,stock,RGTI,1,0.04
stress,continuation,stock,RIOT,1,0.04
stress,continuation,stock,RIVN,1,0.04
stress,continuation,stock,SOFI,1,0.04
stress,continuation,stock,WULF,1,0.04
stress,continuation,month,2025-11,12,0.48
stress,continuation,month,2025-10,8,0.32
stress,continuation,month,2025-12,4,0.16
stress,continuation,month,2025-09,1,0.04
stress,continuation,checkpoint,14,14,0.56
stress,continuation,checkpoint,20,4,0.16
stress,continuation,checkpoint,16,2,0.08
stress,continuation,checkpoint,8,1,0.04
stress,continuation,checkpoint,28,1,0.04
stress,continuation,checkpoint,18,1,0.04
stress,continuation,checkpoint,32,1,0.04
stress,continuation,checkpoint,10,1,0.04
stress,continuation,session,2025-10-07,4,0.16
stress,continuation,session,2025-11-14,3,0.12
stress,continuation,session,2025-11-06,3,0.12
stress,continuation,session,2025-10-17,2,0.08
stress,continuation,session,2025-11-13,2,0.08
stress,continuation,session,2025-11-21,1,0.04
stress,continuation,session,2025-09-09,1,0.04
stress,continuation,session,2025-10-10,1,0.04
stress,continuation,session,2025-11-07,1,0.04
stress,continuation,session,2025-12-17,1,0.04
stress,continuation,session,2025-11-25,1,0.04
stress,continuation,session,2025-12-11,1,0.04
stress,continuation,session,2025-10-22,1,0.04
stress,continuation,session,2025-11-18,1,0.04
stress,continuation,session,2025-12-18,1,0.04
stress,continuation,session,2025-12-12,1,0.04
stress,continuation,market_shock_event,market-shock-v1-7ce41425393158f7b2b1700b,3,0.12
stress,continuation,market_shock_event,market-shock-v1-9671dab7cf31647bd7f04602,3,0.12
stress,continuation,market_shock_event,market-shock-v1-6edccdb23c5f1ed2233e741e,2,0.08
stress,continuation,market_shock_event,market-shock-v1-01084782cc5e4b5a35da9856,2,0.08
stress,continuation,market_shock_event,market-shock-v1-7e7dbe30d146ec57ab21686f,1,0.04
stress,continuation,market_shock_event,market-shock-v1-a62f02a0507aa7599acc3aab,1,0.04
stress,continuation,market_shock_event,market-shock-v1-308f5ca7c71aa5009adead48,1,0.04
stress,continuation,market_shock_event,market-shock-v1-2423245724875c8fc6d1c694,1,0.04
stress,continuation,market_shock_event,market-shock-v1-2b511ac0dcaa63eb327e94e3,1,0.04
stress,continuation,market_shock_event,market-shock-v1-91df7bcecddd311ef7b1eef1,1,0.04
stress,continuation,market_shock_event,market-shock-v1-b4927eb9e03bdcad4dbf81a7,1,0.04
stress,continuation,market_shock_event,market-shock-v1-94f58939c7fde6b8dd0bc649,1,0.04
stress,continuation,market_shock_event,market-shock-v1-92dbb971bd4b2ede4179db14,1,0.04
stress,continuation,market_shock_event,market-shock-v1-b6c6f3383aac0450dcb54e36,1,0.04
stress,continuation,market_shock_event,market-shock-v1-b7e390811d7f4b9663d100a6,1,0.04
stress,continuation,market_shock_event,market-shock-v1-2d8606103f79fc350f8a3818,1,0.04
stress,continuation,market_shock_event,market-shock-v1-af2bd5c3e1bbac5ae0c2d7c1,1,0.04
stress,continuation,market_shock_event,market-shock-v1-1230ca526aa6cefdba878360,1,0.04
stress,continuation,market_shock_event,market-shock-v1-8cdd46f076481ed3efc29e52,1,0.04
stress,resistance,stock,CIFR,2,0.5
stress,resistance,stock,NVTS,1,0.25
stress,resistance,stock,WULF,1,0.25
stress,resistance,month,2025-11,3,0.75
stress,resistance,month,2025-10,1,0.25
stress,resistance,checkpoint,20,2,0.5
stress,resistance,checkpoint,30,1,0.25
stress,resistance,checkpoint,14,1,0.25
stress,resistance,session,2025-11-21,2,0.5
stress,resistance,session,2025-10-10,1,0.25
stress,resistance,session,2025-11-13,1,0.25
stress,resistance,market_shock_event,market-shock-v1-66002120ad7ed8c40a7ac2f0,2,0.5
stress,resistance,market_shock_event,market-shock-v1-4ecf5f2f37252dd345f19818,1,0.25
stress,resistance,market_shock_event,market-shock-v1-94f58939c7fde6b8dd0bc649,1,0.25
