semantic_loop_id,primitive_loop_id,candidate_event_prevalence,b0_log_loss,b1_log_loss,b2_log_loss,b3_log_loss,b4_log_loss,b5_log_loss,strongest_retained_baseline,candidate_aware_model,baseline_log_loss,candidate_aware_log_loss,oof_log_loss_increment,relative_log_loss_improvement,brier_improvement,conditional_information_gain,calibration_error,quarter_consistency,stock_deletion_consistency,scored_fold_count,scored_decisions,information_qualified,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,decision_id,symbol,session,decision_timestamp,event_timestamp,source_artifact,source_hash
loop_p_0-3-1-0,loop_p_0-3-1-0,0.0184683958008,0.0922869763642,0.0776179825339,0.0632413260359,0.0594249114767,0.0631997389196,0.0778343212484,B4,C4,0.0631997389196,0.0639170271352,-0.00071728821558,-0.0113495439671,-0.000200592221779,0,0.0105628597131,0,0,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-1-2-0,loop_p_0-3-1-2-0,0.00453195671787,0.0290797850235,0.0266594636866,0.0209186030997,0.0190121262635,0.0237648792449,0.0266068115998,B4,C4,0.0237648792449,0.0238107614564,-4.58822114343e-05,-0.00193067303063,2.22125253958e-06,0,0.00870745471244,0.5,0.0909090909091,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-2-0,loop_p_0-3-2-0,0.00152359784187,0.011464370836,0.0105276793364,0.00890586193979,0.00966581035402,0.0148954068554,0.0105630638981,B5,C5,0.0105630638981,0.00844738524703,0.0021156786511,0.200290244526,7.96289654617e-05,0.00305227909806,0.000397937278317,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-2-1-0,loop_p_0-3-2-1-0,0.000973907640096,0.00778736674545,0.00718902491807,0.0065718891545,0.00743408745523,0.0122773378306,0.00734076932973,B5,C5,0.00734076932973,0.00554755265906,0.00179321667066,0.24428184433,3.03977625028e-05,0.00258706479801,0.000630890203791,0.75,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-4-0,loop_p_0-3-4-0,0.00132642635645,0.0102629332325,0.00954670602831,0.00875634939219,0.00976150235239,0.0154651204873,0.00976141397439,B5,C5,0.00976141397439,0.00865345869096,0.00110795528343,0.113503564784,-2.24626020987e-05,0.00159844159293,0.000309085111011,1,1,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-4-1-0,loop_p_0-3-4-1-0,0.00115315444502,0.0089969013269,0.00829828763986,0.00753459752063,0.00839333313172,0.0135903392327,0.00851722998165,B5,C5,0.00851722998165,0.00672568238088,0.00179154760078,0.210343926915,-8.93740761931e-06,0.00258465683915,0.000553066114029,1,1,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-4-2-0,loop_p_0-3-4-2-0,0.00128161465522,0.00985361465299,0.00903177249041,0.00828475565193,0.00917756933947,0.0139404596585,0.00923656632545,B5,C5,0.00923656632545,0.00749761070707,0.00173895561838,0.188268622463,1.81733025228e-05,0.00250878264696,0.000646744155441,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-0,loop_p_0-4-0,0.00262596569216,0.018287949262,0.0159979695719,0.0139933399186,0.0161233660771,0.0213055298301,0.0159489266272,B5,C5,0.0159489266272,0.0137339334123,0.00221499321494,0.138880394067,9.61514044953e-05,0.0031955597268,0.000624404763147,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-1-0,loop_p_0-4-1-0,0.0028858735593,0.0198582575404,0.0173073041741,0.0153267784119,0.016134111067,0.021250785706,0.0173390249966,B5,C5,0.0173390249966,0.0144304729908,0.00290855200581,0.167745995313,0.000138271019855,0.00419615355495,0.000340431580808,0.75,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-1-2-0,loop_p_0-4-1-2-0,0.00102768168157,0.00817063921425,0.00750757584281,0.006738400259,0.00768775193238,0.0127612247697,0.00766258299245,B5,C5,0.00766258299245,0.00614829019317,0.00151429279928,0.197621715911,2.17948561122e-06,0.00218466271197,0.000467574988386,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-1-3-0,loop_p_0-4-1-3-0,0.00125472763448,0.00967175835396,0.00905380242148,0.00773202470609,0.00861175179831,0.0138811914654,0.0092437219108,B5,C5,0.0092437219108,0.00688618394242,0.00235753796838,0.255042069756,-4.16494228616e-05,0.00340120833568,0.00086821691103,1,1,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-2-0,loop_p_0-4-2-0,0.00279625015684,0.0192627189373,0.0172304359758,0.0149957209645,0.0154208069979,0.0209576311502,0.0172430504285,B5,C5,0.0172430504285,0.0142416252039,0.00300142522457,0.174065791724,0.000131730519978,0.00433014128709,0.000442025951237,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-2-1-0,loop_p_0-4-2-1-0,0.00183130485699,0.0134084953493,0.0120974572428,0.0103618390196,0.0106246476473,0.0156482777064,0.0122986911588,B5,C5,0.0122986911588,0.00880616871633,0.00349252244252,0.283975131777,0.000160189437583,0.00503864480801,0.000556108381929,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-2-1-3-0,loop_p_0-4-2-1-3-0,0.000950008066106,0.00763722287593,0.00736014736699,0.00636880657096,0.00696246303846,0.0120347254204,0.0075387938103,B5,C5,0.0075387938103,0.00541331233159,0.0021254814787,0.281939197727,4.53427171465e-06,0.00306642158883,0.000954518294415,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-2-3-0,loop_p_0-4-2-3-0,0.00119796614625,0.00928021882596,0.00868573468773,0.00772768951451,0.00843573265809,0.0132731856255,0.00880432182054,B5,C5,0.00880432182054,0.00663239910248,0.00217192271805,0.246688247241,7.89963778568e-05,0.00313342213453,0.000572827617824,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-3-0,loop_p_0-4-3-0,0.00287691121906,0.0197594465722,0.0178437817076,0.0165196010086,0.0172528809433,0.0229569696974,0.018050867562,B5,C5,0.018050867562,0.0159460294833,0.00210483807872,0.116605923316,3.55854179371e-05,0.00303663945804,0.000702131105185,1,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-4-3-1-0,loop_p_0-4-3-1-0,0.00142799954591,0.0107957387304,0.0100673797357,0.00906911105522,0.00950217244673,0.014555947057,0.0102855414937,B5,C5,0.0102855414937,0.00830362824467,0.00198191324901,0.19268924735,6.20955076008e-05,0.00285929641582,0.000512337452755,0.75,1,10,334734,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_1-2-1,loop_p_1-2-1,0.0485310724336,0.194795656192,0.148133478096,0.132648211912,0.130483786794,0.135360456115,0.147986246313,B4,C4,0.135360456115,0.136609566505,-0.00124911038925,-0.0092280302911,-0.000307270905532,0,0.0157675768952,0,0,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_1-2-3-1,loop_p_1-2-3-1,0.0209569389426,0.101947422895,0.0880089850661,0.072393571168,0.0682631866806,0.0716654869837,0.0881416535595,B4,C4,0.0716654869837,0.0723022416409,-0.000636754657193,-0.00888509495984,-0.000159636346738,0,0.0120208943384,0.25,0,10,334734,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,chronological structural folds,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
